id,ticker,shares,entry_price,entry_date,target_price,commission_paid,status,exit_price,exit_date,exit_reason,realized_pnl,mae_pct,days_held,gap_pct
20,USAS,186.0,5.3125,2026-08-20,5.6844,1.5,open,,,,,-1.53411865234375,,0.99
19,UAMY,179.0,5.5008,2026-08-20,5.8859,1.5,open,,,,,-4.012146073763559,,5.38
18,INBX,9.0,99.394,2026-08-20,106.3516,1.5,open,,,,,-0.3410665581667145,,2.85
17,AMPX,94.0,10.5277,2026-08-20,11.2646,1.5,open,,,,,-4.25259150900904,,3.59
16,AGL,10.0,92.233,2026-08-20,98.6893,1.5,open,,,,,-0.23094050603753302,,0.24
15,JBIO,43.0,22.7332,2026-08-19,24.3245,1.5,open,,,,,-8.943744114601317,,1.33
14,UMAC,35.0,28.1336,2026-08-19,30.103,1.5,open,,,,,-10.889471326725987,,2.86
13,FCEL,45.0,21.6825,2026-08-19,23.2003,3.0,closed,18.430125,2026-08-20,STOP LOSS,-149.35687500000006,-16.84537905386599,1,9.88
12,NTLA,86.0,11.5025,2026-08-18,12.3077,3.0876932999999998,closed,12.3077,2026-08-19,MAL NATT,66.15950670000007,4.412086319337853,1,0.54
11,UAMY,189.0,5.2896,2026-08-18,5.6599,3.10458165,closed,5.6599,2026-08-19,MAL NATT,66.88211834999993,3.2214163291548052,1,0.56
10,SHLS,123.0,8.112,2026-08-18,8.6798,3.0,closed,7.375,2026-08-20,TIDIG VARNING,-93.65100000000007,-11.920611674969015,2,1.13
9,RZLV,395.0,2.53,2026-08-18,2.7071,1.5,open,,,,,-4.743079611435231,,0.79
8,RXT,258.0,3.8732,2026-08-18,4.1443,3.0,closed,3.29222,2026-08-20,STOP LOSS,-152.8928400000001,-18.41371254180811,2,3.96
7,POET,113.0,8.8136,2026-08-18,9.4306,1.5,open,,,,,-8.323500911023244,,1.74
6,NNE,52.0,18.8736,2026-08-18,20.1948,1.5,open,,,,,-5.741348150181502,,2.19
5,AEVA,46.0,21.4176,2026-08-18,22.9168,3.0,closed,18.8700008392334,2026-08-20,TIDIG VARNING,-120.1895613952637,-13.9959655783377,2,0.01
4,RCAT,93.0,10.6488,2026-08-17,11.3942,3.0,closed,9.05148,2026-08-20,STOP LOSS,-151.55075999999997,-15.013896488478856,3,3.84
3,LWLG,134.0,7.424,2026-08-17,7.9437,3.0,closed,6.3104000000000005,2026-08-19,STOP LOSS,-152.2224,-17.295260419105666,2,3.69
2,FCEL,46.0,21.6825,2026-08-17,23.2003,3.1008207,closed,23.2003,2026-08-18,MAL NATT,66.71797929999991,-4.485188126495306,1,0.2
1,AMPX,82.0,12.1682,2026-08-17,13.02,3.0,closed,10.34297,2026-08-19,STOP LOSS,-152.6688600000001,-15.764040696241025,2,4.42
